link,title,description
https://github.com/gioLomb/segnalazioni_urbane,Segnalazioni urbane,progetto universitario: server HTTP multi-ruolo per la segnalazione di problemi urbani, sviluppato interamente in C con libuv per la gestione asincrona delle connessioni. Il sistema permette a cittadini, operatori e amministratori di segnalare, geolocalizzare e gestire criticità sul territorio comunale, con strutture dati custom (hash table, slab allocator) progettate per massimizzare le prestazioni.
https://github.com/gioLomb/Key-Value-Engine,Key Value Engine,Server HTTP custom basato su architettura event-driven , con gestione della memoria tramite Memory Pool e database NoSQL basato su Hash Table implementata da zero.
https://github.com/gioLomb/FIND_TREE,Find tree,Node.JS (con framework Express) e MongoDb
https://github.com/gioLomb/AIxARDUINO,AIxARDUINO,Sviluppo di un Arduino web server che ospita una pagina web in cui vengono tracciati gli accessi effettuati tramite riconoscimento facciale utilizzando algoritmi di machine learning in Python. Ogni accesso viene celebrato da un simpatico meccanismo fisico basato sul movimento di un servomotore e il suono di un buzzer
https://github.com/gioLomb/kappolavoro-lavagnettaTattica,Lavagnetta tattica,Progettazione con tecnologia JAVA SWING di una lavagna tattica interattiva per la gestione della propria squadra: consente di gestire il proprio budget, la disposizione dei giocatori, le loro schede informative e la simulazione di match
https://github.com/gioLomb/static_portfolio_generator,static portfolio generator, portfolio generato da static site generator
https://github.com/gioLomb/C_Hack_Assembler, Hack Assembler, assembler per il linguaggio Hack realizzato interamente in C.
